"","X","sitename","plotid","genotype","date","Stem","Leaf","Root","Rhizome","precip","LAI","NDVI","Height"
"1711605",1711605,"north","A",10057,"2007-11-04",3.21,2.32,2.06,2.59938247212155,0.00160131159961502,1.58,1.37,0.67
"621921",621921,"south","D",9966,"1999-07-10",18.3,5.54,5.12,4.85062393742163,0.0139090764085221,4.16,1.63,2.19
"2494823",2494823,"central","D",10122,"1997-05-29",0,2.74,3.07,2.0957955492994,3.8179194593254,2.04,1.42,0.63
"884550",884550,"central","C",9988,"1997-09-15",32.5,6.97,5.61,9.59269297741297,0.00581644972265671,5.32,1.71,3.94
"2467939",2467939,"north","B",10120,"1999-04-21",2.59,2.84,3.04,8.25751275032591,1.59632179727343,1.89,1.37,0.6
"2238986",2238986,"north","D",10101,"2007-07-14",7.64,2.57,1.92,2.69143428790211,0.0248167613853489,1.66,1.28,1.13
"2179153",2179153,"north","B",10096,"1999-04-27",3.27,3.44,3.33,6.67758187382124,0.015761277024121,2.38,1.47,0.7
"66700",66700,"central","C",9920,"2000-08-31",27.35,5.44,3.53,9.13197828380648,0.00740251474878525,3.88,1.61,3.64
"2424979",2424979,"central","C",10116,"1999-09-10",21.06,8.13,7.58,2.7640723773848,0.00312238543042851,5.82,1.64,2.58
"2575392",2575392,"north","D",10129,"1999-08-14",21.7,7.65,6.64,3.45204427726646,7.28912348427454,5.45,1.54,2.72
"795936",795936,"north","B",9981,"2007-05-20",0.21,1.62,1.56,2.2862278555361,0.00259756067924223,1,1.24,0.46
"1950237",1950237,"north","D",10077,"2007-08-26",13.05,2.53,2.23,5.58521364747689,2.56271704605809,1.79,1.39,1.78
"1001668",1001668,"north","A",9998,"1997-04-19",0,0.5,0.45,7.49290942805008,0.0936497152474955,0.38,0.93,0.27
"928168",928168,"north","B",9992,"2004-07-05",12.05,4.08,2.25,1.39301045180436,12.0927780392993,2.8,1.58,1.72
"117595",117595,"south","B",9924,"1999-07-30",16.46,5.73,5.42,4.69676416727956,0.172114933619111,3.91,1.62,2.09
"1368863",1368863,"south","B",10028,"1997-09-22",23.04,4.83,4.11,9.81755146149537,0.0018704082232171,3.59,1.6,3.42
"2677466",2677466,"central","C",10137,"1997-09-14",24.49,6.6,5.5,3.24883036970734,0.582547702807378,4.75,1.63,2.86
"1772124",1772124,"north","A",10062,"1999-08-23",19.26,5.3,5.17,5.71203528507542,0.00141659944442518,3.84,1.64,2.46
